timestamp,page_id,status,qa_count,tokens_input,tokens_output,cost_usd
2026-02-09T21:02:44.396118,-001,success,12,1867,777,0.0173
2026-02-09T21:03:00.943827,-002,success,12,1867,780,0.0173
2026-02-09T21:03:15.290921,-003,success,12,1867,738,0.0167
2026-02-09T21:03:27.321504,-004,success,10,1884,619,0.0149
2026-02-09T21:03:41.951284,-005,success,12,1867,653,0.0154
2026-02-09T21:03:57.300213,-006,success,12,1867,740,0.0167
2026-02-09T21:04:13.166624,-007,success,12,1867,732,0.0166
2026-02-09T21:04:22.755912,-008,success,8,1867,470,0.0127
2026-02-09T21:04:36.147184,-009,success,12,1867,739,0.0167
2026-02-09T21:04:49.042514,-010,success,12,1867,690,0.0160
2026-02-09T21:04:59.503836,-011,success,8,1867,499,0.0131
2026-02-09T21:05:14.101946,-012,success,12,1867,724,0.0165
2026-02-09T21:05:28.135317,-013,success,12,1867,706,0.0162
2026-02-09T21:05:42.061967,-014,success,12,1867,734,0.0166
2026-02-09T21:05:58.751800,-015,success,12,1867,854,0.0184
2026-02-09T21:06:11.672587,-016,success,10,1884,586,0.0144
2026-02-09T21:06:25.653375,-017,success,12,1867,707,0.0162
2026-02-09T21:06:38.690449,-018,success,10,1884,637,0.0152
2026-02-09T21:06:50.775542,-019,success,10,1884,632,0.0151
2026-02-09T21:07:00.835040,-020,success,6,1867,403,0.0116
2026-02-09T21:07:16.272474,-021,success,10,1884,696,0.0161
2026-02-09T21:07:30.789342,-022,success,12,1867,735,0.0166
2026-02-09T21:07:43.841869,-023,success,12,1867,701,0.0161
2026-02-09T21:07:53.549839,-024,success,7,1884,491,0.0130
2026-02-09T21:07:59.088802,-025,success,0,1867,130,0.0076
2026-02-09T21:08:04.747039,-m,success,0,436,132,0.0033
2026-02-09T21:08:12.699179,00-00-index-a_maintena,success,6,1744,368,0.0108
2026-02-09T21:08:25.908216,00-00-intro-01_maintena,success,6,1744,474,0.0123
2026-02-09T21:08:43.731577,00-00-intro-02_maintena,success,12,1894,808,0.0178
2026-02-09T21:09:01.760172,00-00-intro-03_maintena,success,12,1894,848,0.0184
2026-02-09T21:09:11.685106,00-00-intro-04_maintena,success,6,1744,377,0.0109
2026-02-09T21:09:27.256107,00-01_maintena,success,12,1890,745,0.0168
2026-02-09T21:09:43.079045,00-01_torque-s,success,10,1848,708,0.0162
2026-02-09T21:10:00.926587,00-02_maintena,success,12,1890,830,0.0181
2026-02-09T21:10:13.082538,00-02_torque-s,success,10,1848,724,0.0164
2026-02-09T21:10:30.562632,00-03_maintena,success,12,1890,795,0.0176
2026-02-09T21:10:40.374527,00-03_torque-s,success,10,1848,614,0.0148
2026-02-09T21:10:55.066757,00-04_maintena,success,12,1890,724,0.0165
2026-02-09T21:11:06.166029,00-04_torque-s,success,10,1848,681,0.0158
2026-02-09T21:11:22.315525,00-05_maintena,success,12,1890,727,0.0166
2026-02-09T21:11:34.539056,00-05_torque-s,success,10,1848,742,0.0167
2026-02-09T21:11:52.160264,00-06_maintena,success,12,1890,783,0.0174
2026-02-09T21:12:02.797104,00-06_torque-s,success,10,1848,676,0.0157
2026-02-09T21:12:19.518790,00-07_maintena,success,12,1890,727,0.0166
2026-02-09T21:12:30.545839,00-07_torque-s,success,10,1848,681,0.0158
2026-02-09T21:12:45.811606,00-08_maintena,success,12,1890,708,0.0163
